STN,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN,
133,127.37211,36.37198,45201,70.22,71.12,1.6,19.8,1.2,133,대전,Daejeon,11C20401,3020012400,----,
135,127.99458,36.22025,41200,244.98,246.18,1.6,10,1.1,131,추풍령,Chupungnyeong,11C10401,4374033521,----,
136,128.70733,36.57293,71311,141.26,142.76,1.8,10,1.3,136,안동,Andong,11H10501,4717012900,----,
137,128.15741,36.40837,71200,96.58,97.98,1.8,10,1.4,143,상주,Sangju,11H10302,4725011000,----,
138,129.38002,36.03201,71501,3.94,4.92,1.6,10,1.2,138,포항,Pohang,11H10201,4711110400,----,
140,126.76135,36.0053,51100,27.85,24.6,1.7,10,1,146,군산,Gunsan,21F10501,4513010300,----,
143,128.6522,35.828233,71401,53.4,54.9,1.8,10,0.6,143,대구,Daegu,11H10701,2714010300,----,
146,127.15496,35.8215,51211,53.4,62.4,1.8,18.4,0.6,146,전주,Jeonju,11F10201,4511112100,----,
152,129.32026,35.56014,75201,34.57,35.8,1.5,12,0.5,152,울산,Ulsan,11H20101,3111010400,----,
155,128.5750828,35.16709278,75301,36.8,37.9,1.7,10,0.5,0,마산,Masan,11H20302,4812510100,----,
156,126.89156,35.17294,55101,70.28,73.9,1.7,17.5,0.8,156,광주,Gwangju,11F20501,2917010900,----,
159,129.03203,35.10468,75101,69.56,70.9,1.5,18,1.3,159,부산,Busan,11H20201,2611011600,----,
162,128.43561,34.84541,75400,31.24,33.2,1.5,18,1.3,159,통영,Tongyeong,11H20401,4822010900,----,
165,126.38121,34.81689,55201,38,39.2,1.5,14.5,1,165,목포,Mokpo,21F20801,4611010300,----,
168,127.74063,34.73929,55601,65.93,66.1,1.5,13,0.6,168,여수,Yeosu,11F20401,4613010700,----,
169,125.45105,34.68719,55401,75.12,78,1.5,15.5,0.6,169,흑산도,Heuksando,11F20701,4691036022,----,
170,126.70182,34.3959,55500,35.37,36.7,1.5,10,0.8,165,완도,Wando,11F20301,4689031022,----,
175,126.3238,34.47211,55700,478.51,479.76,1.5,10,0.8,165,진도(첨찰산),Jindo,21F20201,4690033021,----,
184,126.52969,33.51411,61101,20.79,21.99,1.7,15,1.5,184,제주,Jeju,11G00201,5011010700,----,
185,126.16283,33.29382,61200,71.39,72.49,1.7,10,1.5,184,고산,Gosan,11G00501,5011031023,----,
188,126.8802,33.38677,61400,20.34,21.74,1.7,10,1.5,184,성산,Seongsan,11G00101,5013025927,----,
189,126.565331,33.24612,61311,50.4,51.6,1.8,10,0.6,189,서귀포,Seogwipo,11G00401,5013010100,----,
192,128.04004,35.16378,75610,29.35,31.6,1.8,10,1.3,155,진주,Jinju,11H20701,4817012600,----,
201,126.44634,37.70739,24100,47.84,49.24,1.6,10,0.6,112,강화,Ganghwa,11B20101,2871032027,----,
202,127.49446,37.48863,24200,47.26,48.76,1.9,10,0.6,119,양평,Yangpyeong,11B20503,4183025021,----,
203,127.48421,37.26399,24300,80.09,81.59,1.8,10,0.6,119,이천,Icheon,11B20701,4150025328,----,
211,128.16714,38.05986,32100,201.78,202.78,1.5,10,0.5,211,인제,Inje,11D10201,4281025022,----,
212,127.88043,37.6836,32200,140.2,141.2,1.6,13,0.5,101,홍천,Hongcheon,11D10302,4272025029,----,
216,128.98929,37.17038,36100,714.45,715.25,1.6,16,0.6,216,태백,Taebaek,11D20301,4219010100,----,
221,128.19433,37.15928,42200,264.62,265.39,1.5,10,0.5,131,제천,Jecheon,11C10201,4315011200,----,
226,127.73415,36.48761,42300,171.31,172.71,1.5,10,0.5,131,보은,Boeun,11C10302,4372025030,----,
232,127.1212681,36.77962166,46100,21.3,22.6,1.8,9.5,0.6,232,천안,Cheonan,11C20301,4413111600,----,
235,126.55744,36.32724,46200,9.98,17,1.6,10,1.1,133,보령,Boryeong,11C20201,4418010900,----,
236,126.92079,36.27242,46300,13.42,14.88,1.7,10,0.5,133,부여,Buyeo,11C20501,4476025033,----,
238,127.48175,36.10563,46400,172.69,173.99,1.5,10,0.5,133,금산,Geumsan,11C20601,4471025025,----,
243,126.71657,35.72961,52100,12.2,13.5,1.8,10,0.6,146,부안,Buan,21F10602,4580033021,----,
244,127.28556,35.61203,52400,247.04,248.44,1.8,10,0.6,146,임실,Imsil,11F10402,4575025022,----,
245,126.86611,35.56317,52200,44.6,46.1,1.7,10,0.6,146,정읍,Jeongeup,11F10203,4518010300,----,
247,127.33303,35.40536,52300,90.29,94.7,1.8,10,0.6,247,남원,Namwon,11F10401,4519037022,----,
248,127.52031,35.65696,52500,406.87,408,1.6,10,0.5,146,장수,Jangsu,11F10301,4574025023,----,
251,126.697,35.4266,52600,54,55.3,1.8,10,0.7,251,고창,Gochang,21F10601,4579025030,----,
252,126.47784,35.28366,56500,37.2,38.7,1.5,13,0.6,156,영광군,Yeonggwanggun,21F20102,4687034030,----,
253,128.89075,35.22981,73000,54.59,54.6,1.7,10,0.5,159,김해시,Gimhaesi,11H20304,4825010300,----,
254,127.1286,35.37131,52700,129.38,128.4,1.6,10,0.6,146,순창군,Sunchanggun,11F10403,4577025026,----,
255,128.6725,35.2264,73100,46.77,48.12,1.8,10,0.6,0,창원시,----,11H20301,4812311100,----,
256,127.239113,35.074982,56110,74.4,75.4,1.5,14,0.6,256,순천,Suncheon,11F20603,4615035029,----,
257,129.02009,35.30737,73100,6.29,16.1,1.8,10,0.6,152,양산시,Yangsansi,11H20102,4833031027,----,
258,127.21226,34.76335,56710,1.41,4.3,1.5,10,0.6,168,보성군,Boseonggun,11F20404,4678038023,----,
259,126.76715,34.6289,56400,9.95,13.9,1.5,10,0.6,165,강진군,Gangjin,Gun,11F20303,4681025027,----
260,126.91951,34.68886,56200,43.99,46.3,1.5,10,0.8,165,장흥,Jangheung,11F20304,4680025043,----,
261,126.56907,34.55375,56300,16.36,17.91,1.5,10,0.8,165,해남,Haenam,11F20302,4682025034,----,
262,127.27571,34.61824,56400,53.12,54.6,1.5,10,0.6,168,고흥,Goheung,11F20403,4677025029,----,
263,128.28812,35.32258,75500,14.1,14.9,2,10,0.6,155,의령군,Uiryeonggun,11H20302,4872025024,----,
264,127.74538,35.51138,76700,152.07,152.5,1.8,10,0.6,155,함양군,Hamyanggun,11H20502,4887025022,----,
271,128.91449,36.94361,72100,324.67,326.22,1.9,10,0.6,143,봉화,Bongwhoa,11H10402,4792034021,----,
272,128.51687,36.87183,72200,211.32,212.78,1.91,10,0.58,136,영주,Yeongju,11H10401,4721025021,----,
273,128.14879,36.62727,72300,173.01,174.51,1.8,10,0.6,143,문경,Mungyeong,11H10301,4728010800,----,
277,129.40926,36.53337,72400,40.71,42.01,1.7,10,0.6,138,영덕,Yeongdeok,11H10102,4777036030,----,
278,128.68864,36.3561,72500,81.44,82.94,1.7,10,0.6,143,의성,Uiseong,11H10502,4773025031,----,
279,128.32055,36.13055,72600,49.17,50.67,1.7,10,1.4,143,구미,Gumi,11H10602,4719010800,----,
281,128.9514,35.97742,72700,96.12,97.62,1.7,10,0.5,143,영천,Yeongcheon,11H10702,4723010200,----,
284,127.911011,35.671211,76100,221.4,222.6,1.5,10,0.5,284,거창,Geochang,11H20502,4888025025,----,
285,128.16994,35.56505,76200,26.72,33.2,1.5,10,0.5,152,합천,Hapcheon,11H20503,4889025021,----,
288,128.74412,35.49147,76300,8.31,12.5,2,10,1.3,152,밀양,Miryang,11H20601,4827010200,----,
289,127.8791,35.413,76400,138.22,138.8,1.6,10,0.6,155,산청,Sancheong,11H20703,4886025023,----,
294,128.60459,34.88818,76500,44.83,46.7,1.7,10,0.6,159,거제,Geoje,11H20403,4831010800,----,
295,127.92641,34.81662,76600,45.71,47.01,1.8,10,0.8,159,남해,Namhae,11H20405,4884031021,----,
