대여일시,대여건수,,,,
2021-12-14," 56,280 ",,,,
2021-12-15," 67,884 ",,,,
2021-12-16," 80,657 ",,,,
2021-12-17," 48,342 ",,,,
2021-12-18," 23,784 ",,,,
2021-12-19," 19,804 ",,,,
2021-12-20," 63,330 ",,,,
2021-12-21," 71,556 ",,,,
2021-12-22," 73,644 ",,,,
2021-12-23," 75,058 ",,,,
2021-12-24," 55,216 ",,,,
2021-12-25," 18,859 ",,,,
2021-12-26," 16,485 ",,,,
2021-12-27," 42,521 ",,,,
2021-12-28," 51,268 ",,,,
2021-12-29," 52,017 ",,,,
2021-12-30," 48,993 ",,,,
2021-12-31," 40,604 ",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
